trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.2, 'e': 0.30119421191220214}",25,7,-11.417532816853932,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.2, 'e': 0.2981972794298874}",20,0,14.554302375587389,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
122,False,"{'a': 0.2, 'e': 0.2952301669240142}",30,16,5.00202619975021,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.2922925776808594}",20,0,-5.538931406289935,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.2, 'e': 0.2893842179390506}",20,12,-7.943754149556614,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.2, 'e': 0.2865047968601901}",25,0,-7.632425545648768,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
126,False,"{'a': 0.2, 'e': 0.2836540264997704}",20,1,-18.406299573921462,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.2, 'e': 0.2808316217783798}",25,3,28.714462066504986,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.27803730045319414}",30,7,11.6780707001417,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.27527078308975234}",25,19,9.99861706367231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.2725317930340126}",25,0,-36.345652802725226,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
131,False,"{'a': 0.2, 'e': 0.2698200563846868}",35,6,31.29184645699545,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.26713530196585034}",20,5,0.23222774199509977,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.26447726129982396}",25,0,5.208649390506418,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.261845668580326}",25,0,-20.818613655550635,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
135,False,"{'a': 0.2, 'e': 0.2592402606458915}",25,0,-6.653017095454057,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
